station_destination,All,All_half,changes
Abbey Road,345.0,241.0,-104.0
Acton Central,750.0,429.0,-321.0
Acton Town,2202.0,2018.0,-184.0
Aldgate,7782.0,6063.0,-1719.0
Aldgate East,7932.0,6638.0,-1294.0
All Saints,444.0,341.0,-103.0
Alperton,741.0,621.0,-120.0
Amersham,256.0,192.0,-64.0
Anerley,173.0,106.0,-67.0
Angel,8103.0,6998.0,-1105.0
Archway,2193.0,2096.0,-97.0
Arnos Grove,748.0,752.0,4.0
Arsenal,315.0,443.0,128.0
Baker Street,14973.0,11351.0,-3622.0
Balham,3814.0,3108.0,-706.0
Bank and Monument,78549.0,54715.0,-23834.0
Barbican,9134.0,7790.0,-1344.0
Barking,7004.0,6780.0,-224.0
Barkingside,262.0,254.0,-8.0
Barons Court,2956.0,2783.0,-173.0
Bayswater,615.0,584.0,-31.0
Beckton,442.0,276.0,-166.0
Beckton Park,88.0,64.0,-24.0
Becontree,456.0,485.0,29.0
Belsize Park,2255.0,1982.0,-273.0
Bermondsey,3172.0,3168.0,-4.0
Bethnal Green,4660.0,5290.0,630.0
Blackfriars,10849.0,8778.0,-2071.0
Blackhorse Road,2955.0,2961.0,6.0
Blackwall,665.0,475.0,-190.0
Bond Street,20967.0,15035.0,-5932.0
Borough,3254.0,3202.0,-52.0
Boston Manor,892.0,804.0,-88.0
Bounds Green,778.0,826.0,48.0
Bow Church,925.0,578.0,-347.0
Bow Road,1193.0,1358.0,165.0
Brent Cross,450.0,440.0,-10.0
Brentwood,742.0,448.0,-294.0
Brixton,5084.0,4306.0,-778.0
Brockley,468.0,363.0,-105.0
Bromley-by-Bow,1613.0,1730.0,117.0
Brondesbury,712.0,525.0,-187.0
Brondesbury Park,895.0,512.0,-383.0
Bruce Grove,350.0,162.0,-188.0
Buckhurst Hill,228.0,214.0,-14.0
Burnt Oak,649.0,586.0,-63.0
Bush Hill Park,176.0,111.0,-65.0
Bushey,456.0,148.0,-308.0
Caledonian Road,1803.0,1979.0,176.0
Caledonian Road & Barnsbury,1668.0,1216.0,-452.0
Cambridge Heath,458.0,211.0,-247.0
Camden Road,3784.0,2919.0,-865.0
Camden Town,6348.0,5555.0,-793.0
Canada Water,20443.0,20782.0,339.0
Canary Wharf,58772.0,26260.0,-32512.0
Canning Town,15428.0,15121.0,-307.0
