station_destination,All,All_beta5,changes
Abbey Road,345.0,269.0,-76.0
Acton Central,750.0,398.0,-352.0
Acton Town,2202.0,1866.0,-336.0
Aldgate,7782.0,6128.0,-1654.0
Aldgate East,7932.0,6753.0,-1179.0
All Saints,444.0,339.0,-105.0
Alperton,741.0,537.0,-204.0
Amersham,256.0,140.0,-116.0
Anerley,173.0,111.0,-62.0
Angel,8103.0,7077.0,-1026.0
Archway,2193.0,1969.0,-224.0
Arnos Grove,748.0,663.0,-85.0
Arsenal,315.0,438.0,123.0
Baker Street,14973.0,11492.0,-3481.0
Balham,3814.0,2931.0,-883.0
Bank and Monument,78549.0,53105.0,-25444.0
Barbican,9134.0,7964.0,-1170.0
Barking,7004.0,6198.0,-806.0
Barkingside,262.0,228.0,-34.0
Barons Court,2956.0,2676.0,-280.0
Bayswater,615.0,579.0,-36.0
Beckton,442.0,230.0,-212.0
Beckton Park,88.0,59.0,-29.0
Becontree,456.0,415.0,-41.0
Belsize Park,2255.0,1887.0,-368.0
Bermondsey,3172.0,3134.0,-38.0
Bethnal Green,4660.0,5289.0,629.0
Blackfriars,10849.0,8863.0,-1986.0
Blackhorse Road,2955.0,2873.0,-82.0
Blackwall,665.0,492.0,-173.0
Bond Street,20967.0,15272.0,-5695.0
Borough,3254.0,3226.0,-28.0
Boston Manor,892.0,712.0,-180.0
Bounds Green,778.0,745.0,-33.0
Bow Church,925.0,564.0,-361.0
Bow Road,1193.0,1368.0,175.0
Brent Cross,450.0,391.0,-59.0
Brentwood,742.0,439.0,-303.0
Brixton,5084.0,4051.0,-1033.0
Brockley,468.0,384.0,-84.0
Bromley-by-Bow,1613.0,1717.0,104.0
Brondesbury,712.0,524.0,-188.0
Brondesbury Park,895.0,530.0,-365.0
Bruce Grove,350.0,188.0,-162.0
Buckhurst Hill,228.0,194.0,-34.0
Burnt Oak,649.0,495.0,-154.0
Bush Hill Park,176.0,111.0,-65.0
Bushey,456.0,147.0,-309.0
Caledonian Road,1803.0,1966.0,163.0
Caledonian Road & Barnsbury,1668.0,1245.0,-423.0
Cambridge Heath,458.0,227.0,-231.0
Camden Road,3784.0,2839.0,-945.0
Camden Town,6348.0,5497.0,-851.0
Canada Water,20443.0,21197.0,754.0
Canary Wharf,58772.0,44384.0,-14388.0
Canning Town,15428.0,14540.0,-888.0
Cannon Street,4698.0,4664.0,-34.0
Canonbury,846.0,791.0,-55.0
Canons Park,526.0,398.0,-128.0
Carpenders Park,340.0,114.0,-226.0
Chadwell Heath,561.0,544.0,-17.0
Chalfont & Latimer,554.0,199.0,-355.0
Chalk Farm,1329.0,1327.0,-2.0
Chancery Lane,15391.0,11925.0,-3466.0
Charing Cross,7016.0,6424.0,-592.0
Chesham,243.0,102.0,-141.0
Cheshunt,116.0,42.0,-74.0
Chigwell,148.0,92.0,-56.0
Chingford,237.0,118.0,-119.0
Chiswick Park,1517.0,1257.0,-260.0
Chorleywood,702.0,243.0,-459.0
Clapham Common,2020.0,1994.0,-26.0
Clapham High Street,1296.0,589.0,-707.0
Clapham Junction,4969.0,2262.0,-2707.0
Clapham North,1238.0,1341.0,103.0
Clapham South,1513.0,1469.0,-44.0
Clapton,427.0,218.0,-209.0
Cockfosters,262.0,209.0,-53.0
Colindale,2081.0,1400.0,-681.0
Colliers Wood,865.0,811.0,-54.0
Covent Garden,4355.0,4445.0,90.0
Crossharbour,1208.0,755.0,-453.0
Crouch Hill,404.0,183.0,-221.0
Croxley,340.0,168.0,-172.0
Crystal Palace,499.0,209.0,-290.0
Custom House,845.0,561.0,-284.0
Cutty Sark,1748.0,883.0,-865.0
Cyprus,850.0,441.0,-409.0
Dagenham East,649.0,493.0,-156.0
Dagenham Heathway,1108.0,881.0,-227.0
Dalston Junction,1289.0,880.0,-409.0
Dalston Kingsland,2091.0,1236.0,-855.0
Debden,865.0,539.0,-326.0
Denmark Hill,2612.0,1393.0,-1219.0
Deptford Bridge,840.0,472.0,-368.0
Devons Road,611.0,427.0,-184.0
Dollis Hill,847.0,811.0,-36.0
Ealing Broadway,4846.0,3278.0,-1568.0
Ealing Common,915.0,784.0,-131.0
Earl's Court,6613.0,5590.0,-1023.0
East Acton,1505.0,1331.0,-174.0
East Finchley,1253.0,1081.0,-172.0
East Ham,2062.0,1856.0,-206.0
East India,1522.0,976.0,-546.0
East Putney,1877.0,1562.0,-315.0
Eastcote,364.0,290.0,-74.0
Edgware,772.0,557.0,-215.0
